types,counts,total_unique,probs
Jacob,32545,12301,0.01675820299747584
Michael,29683,12301,0.015284490384823334
Matthew,26808,12301,0.01380408375960462
Joshua,26015,12301,0.013395748993066033
Christopher,23126,12301,0.011908133431237557
Nicholas,22845,12301,0.01176343977499879
Andrew,22411,12301,0.011539962740096209
Joseph,22011,12301,0.011333993122674474
Daniel,20989,12301,0.010807740750161944
William,20101,12301,0.010350488199485693
Anthony,19735,12301,0.010162025999544808
David,19348,12301,0.009962750394689279
Tyler,19273,12301,0.009924131091422704
John,18889,12301,0.009726400258697839
Ryan,18286,12301,0.009415901060434575
Zachary,18186,12301,0.009364408656079142
Ethan,17962,12301,0.009249065670322971
Brandon,17892,12301,0.009213020987274168
James,17070,12301,0.008789753423472504
Alexander,16715,12301,0.008606955388010715
Dylan,16496,12301,0.008494187022472316
Justin,16231,12301,0.008357732150930415
Jonathan,16144,12301,0.008312933759141189
Christian,15454,12301,0.007957636169088698
Austin,14955,12301,0.007700689071355084
Samuel,14794,12301,0.007617786300342836
Benjamin,14332,12301,0.007379891392220734
Noah,13484,12301,0.0069432358032866575
Logan,12711,12301,0.006545199517619156
Robert,12664,12301,0.006520998087572102
Nathan,12647,12301,0.006512244378831678
Kevin,12593,12301,0.006484438480479744
Thomas,12147,12301,0.0062547823570545105
Jose,12139,12301,0.006250662964706076
Cameron,11582,12301,0.005963850272446312
Hunter,11334,12301,0.005836149109644836
Caleb,11176,12301,0.005754791110763251
Gabriel,10915,12301,0.005620395935395569
Jordan,10813,12301,0.0055678736829530276
Kyle,10569,12301,0.00544223221632577
Jason,10164,12301,0.005233687978686264
Aaron,9539,12301,0.0049118604514648044
Isaiah,8585,12301,0.004420622913913969
Eric,8559,12301,0.004407234888781556
Elijah,8338,12301,0.004293436675156048
Brian,8301,12301,0.004274384485544538
Isaac,8197,12301,0.004220832385014886
Jack,8148,12301,0.004195601106880724
Connor,8082,12301,0.004161616120006138
Luke,8006,12301,0.004122481892696008
Adam,7752,12301,0.003991691185633207
Luis,7488,12301,0.0038557512381348627
Juan,7447,12301,0.003834639352349135
Mason,7446,12301,0.0038341244283055806
Charles,7282,12301,0.0037496768851626697
Evan,7259,12301,0.00373783363216092
Sean,7223,12301,0.003719296366592964
Angel,6976,12301,0.0035921101278350433
Carlos,6842,12301,0.0035231103059987622
Jackson,6834,12301,0.0035189909136503273
Nathaniel,6644,12301,0.0034211553453750037
Alex,6614,12301,0.003405707624068374
Steven,6586,12301,0.0033912897508488523
Cody,6574,12301,0.0033851106623262
Jared,6434,12301,0.0033130212962285935
Jesus,6425,12301,0.003308386979836604
Timothy,6420,12301,0.0033058123596188325
Seth,6223,12301,0.0032043723230386284
Bryan,6124,12301,0.0031533948427267494
Ian,6084,12301,0.0031327978809845758
Devin,6038,12301,0.0031091113749810765
Patrick,5786,12301,0.0029793505160053842
Richard,5770,12301,0.002971111731308515
Cole,5740,12301,0.0029556640100018845
Adrian,5424,12301,0.0027929480122387148
Trevor,5395,12301,0.002778015214975639
Blake,5356,12301,0.00275793317727702
Gavin,5260,12301,0.002708500469095804
Chase,5199,12301,0.002677090102438989
Garrett,5061,12301,0.002606030584428491
Sebastian,4979,12301,0.0025638068128570357
Julian,4943,12301,0.0025452695472890793
Lucas,4899,12301,0.002522612889372689
Mark,4752,12301,0.0024469190549702012
Antonio,4734,12301,0.0024376504221862235
Aidan,4632,12301,0.002385128169743681
Miguel,4558,12301,0.0023470237905206604
Alejandro,4554,12301,0.002344964094346443
Jeremy,4269,12301,0.0021982107419334573
Jesse,4220,12301,0.0021729794637992948
Jeremiah,4219,12301,0.002172464539755741
Bryce,4150,12301,0.0021369347807504917
Dakota,3979,12301,0.0020488827693027002
Xavier,3979,12301,0.0020488827693027002
Carson,3941,12301,0.0020293156556476354
Victor,3918,12301,0.0020174724026458856
Kenneth,3907,12301,0.002011808238166788
Dalton,3895,12301,0.002005629149644136
Colby,3859,12301,0.0019870918840761797
Jake,3837,12301,0.0019757635551179847
Tanner,3832,12301,0.0019731889349002127
Stephen,3737,12301,0.001924271150762551
Spencer,3732,12301,0.0019216965305447794
Marcus,3694,12301,0.0019021294168897146
Riley,3652,12301,0.0018805026070604326
Dominic,3635,12301,0.0018717488983200088
Wyatt,3601,12301,0.0018542414808391614
Tristan,3575,12301,0.0018408534557067487
Paul,3515,12301,0.0018099580130934885
Jorge,3445,12301,0.0017739133300446852
Carter,3435,12301,0.0017687640896091416
Eduardo,3417,12301,0.0017594954568251637
Edward,3375,12301,0.0017378686469958816
Jaden,3352,12301,0.001726025393994132
Brendan,3343,12301,0.0017213910776021429
Kaleb,3334,12301,0.001716756761210154
Hayden,3262,12301,0.0016796822300742418
Colton,3246,12301,0.0016714434453773725
Jeffrey,3207,12301,0.0016513614076787532
Vincent,3201,12301,0.0016482718634174274
Henry,3197,12301,0.00164621216724321
Oscar,3192,12301,0.0016436375470254383
Parker,3187,12301,0.0016410629268076666
Maxwell,3183,12301,0.0016390032306334492
Colin,3170,12301,0.0016323092180672428
Joel,3166,12301,0.0016302495218930256
Jalen,3121,12301,0.0016070779399330805
Shane,3116,12301,0.0016045033197153089
George,3086,12301,0.0015890555984086788
Owen,3031,12301,0.0015607347760131904
Liam,3027,12301,0.001558675079838973
Derek,3008,12301,0.0015488915230114405
Peter,2948,12301,0.0015179960803981805
Travis,2943,12301,0.0015154214601804088
Grant,2922,12301,0.0015046080552657678
Collin,2898,12301,0.0014922498782204638
Francisco,2857,12301,0.001471137992434736
Ricardo,2852,12301,0.0014685633722169643
Jayden,2833,12301,0.0014587798153894319
Diego,2832,12301,0.0014582648913458777
Nicolas,2824,12301,0.001454145498997443
Ivan,2823,12301,0.0014536305749538886
Alexis,2769,12301,0.0014258246766019544
Gage,2759,12301,0.001420675436166411
Bradley,2729,12301,0.001405227714859781
Devon,2723,12301,0.001402138170598455
Omar,2722,12301,0.0014016232465549007
Alan,2643,12301,0.0013609442471141083
Javier,2636,12301,0.0013573397788092278
Cristian,2630,12301,0.001354250234547902
Shawn,2628,12301,0.001353220386460793
Preston,2618,12301,0.0013480711460252498
Andres,2601,12301,0.0013393174372848262
Fernando,2600,12301,0.0013388025132412718
Erik,2574,12301,0.0013254144881088591
Mitchell,2568,12301,0.001322324943847533
Gregory,2476,12301,0.0012749519318405343
Dustin,2424,12301,0.0012481758815757087
Max,2403,12301,0.0012373624766610677
Edgar,2375,12301,0.0012229446034415464
Cesar,2374,12301,0.001222429679397992
Clayton,2351,12301,0.0012105864263962424
Raymond,2334,12301,0.0012018327176558186
Manuel,2312,12301,0.0011905043886976231
Taylor,2309,12301,0.0011889596165669603
Johnathan,2306,12301,0.0011874148444362973
Scott,2296,12301,0.0011822656040007538
Corey,2244,12301,0.0011554895537359284
Josiah,2238,12301,0.0011524000094746023
Mario,2216,12301,0.0011410716805164071
Jakob,2192,12301,0.001128713503471103
Levi,2177,12301,0.001120989642817788
Alec,2155,12301,0.0011096613138595927
Brady,2153,12301,0.0011086314657724838
Dillon,2141,12301,0.001102452377249832
Brayden,2128,12301,0.0010957583646836256
Micah,2113,12301,0.0010880345040303104
Peyton,2113,12301,0.0010880345040303104
Marco,2107,12301,0.0010849449597689846
Nolan,2092,12301,0.0010772210991156694
Trenton,2082,12301,0.001072071858680126
Martin,2059,12301,0.0010602286056783765
Dawson,2030,12301,0.0010452958084153008
Wesley,2028,12301,0.001044265960328192
Sergio,2024,12301,0.0010422062641539747
Edwin,1985,12301,0.0010221242264553557
Jonah,1982,12301,0.0010205794543246926
Brett,1963,12301,0.0010107958974971602
Damian,1963,12301,0.0010107958974971602
Roberto,1954,12301,0.0010061615811051711
Braden,1923,12301,0.0009901989357549868
Erick,1920,12301,0.0009886541636243238
Hector,1904,12301,0.0009804153789274544
Landon,1880,12301,0.0009680572018821504
Caden,1878,12301,0.0009670273537950417
Giovanni,1873,12301,0.00096445273357727
Malik,1864,12301,0.000959818417185281
Emmanuel,1856,12301,0.0009556990248368463
Conner,1833,12301,0.0009438557718350967
Abraham,1818,12301,0.0009361319111817816
Cade,1812,12301,0.0009330423669204555
Cooper,1803,12301,0.0009284080505284665
Harrison,1798,12301,0.0009258334303106949
Chandler,1792,12301,0.0009227438860493688
Andy,1785,12301,0.0009191394177444885
Andre,1740,12301,0.0008959678357845435
Ruben,1735,12301,0.0008933932155667717
Trent,1719,12301,0.0008851544308699023
Phillip,1710,12301,0.0008805201144779133
Pedro,1696,12301,0.0008733111778681527
Donovan,1658,12301,0.0008537440642130879
Ronald,1652,12301,0.0008506545199517619
Frank,1634,12301,0.0008413858871677838
Eli,1628,12301,0.0008382963429064579
Calvin,1612,12301,0.0008300575582095885
Ashton,1598,12301,0.0008228486215998278
Aiden,1587,12301,0.0008171844571207301
Darius,1568,12301,0.0008074009002931977
Drew,1565,12301,0.0008058561281625347
Josue,1562,12301,0.0008043113560318718
Casey,1556,12301,0.0008012218117705457
Kobe,1552,12301,0.0007991621155963284
Kaden,1549,12301,0.0007976173434656653
Chance,1542,12301,0.0007940128751607851
Trey,1539,12301,0.000792468103030122
Johnny,1536,12301,0.000790923330899459
Gerardo,1520,12301,0.0007826845462025896
Elias,1518,12301,0.000781654698115481
Skyler,1508,12301,0.0007765054576799376
Armando,1475,12301,0.0007595129642426446
Donald,1470,12301,0.0007569383440248729
Rafael,1455,12301,0.0007492144833715578
Derrick,1455,12301,0.0007492144833715578
Leonardo,1453,12301,0.0007481846352844492
Raul,1439,12301,0.0007409756986746885
Enrique,1438,12301,0.0007404607746311342
Keith,1432,12301,0.0007373712303698082
Jaylen,1426,12301,0.0007342816861084821
Griffin,1418,12301,0.0007301622937600474
Marcos,1415,12301,0.0007286175216293844
Damien,1402,12301,0.0007219235090631781
Avery,1401,12301,0.0007214085850196238
Allen,1386,12301,0.0007136847243663087
Zackary,1386,12301,0.0007136847243663087
Miles,1384,12301,0.0007126548762792001
Bryson,1356,12301,0.0006982370030596787
Dante,1355,12301,0.0006977220790161244
Troy,1355,12301,0.0006977220790161244
Israel,1340,12301,0.0006899982183628093
Jaime,1339,12301,0.000689483294319255
Zane,1330,12301,0.0006848489779272659
Jonathon,1325,12301,0.0006822743577094943
Malachi,1325,12301,0.0006822743577094943
Julio,1319,12301,0.0006791848134481683
Payton,1315,12301,0.000677125117273951
Lance,1285,12301,0.0006616773959673208
Axel,1273,12301,0.0006554983074446688
Mathew,1272,12301,0.0006549833834011145
Simon,1271,12301,0.0006544684593575602
Cory,1263,12301,0.0006503490670091255
Jerry,1252,12301,0.0006446849025300278
Drake,1245,12301,0.0006410804342251474
Marc,1245,12301,0.0006410804342251474
Alberto,1243,12301,0.0006400505861380388
Kameron,1237,12301,0.0006369610418767127
Bailey,1234,12301,0.0006354162697460498
Brenden,1221,12301,0.0006287222571798434
Philip,1221,12301,0.0006287222571798434
Ty,1218,12301,0.0006271774850491804
Dennis,1177,12301,0.0006060655992634527
Keegan,1158,12301,0.0005962820424359203
Gustavo,1140,12301,0.0005870134096519422
Curtis,1124,12301,0.0005787746249550728
Brennan,1121,12301,0.0005772298528244099
Fabian,1111,12301,0.0005720806123888665
Dominick,1110,12301,0.0005715656883453122
Jimmy,1106,12301,0.0005695059921710948
Saul,1102,12301,0.0005674462959968775
Louis,1096,12301,0.0005643567517355515
Brock,1092,12301,0.0005622970555613342
Albert,1091,12301,0.0005617821315177798
Douglas,1081,12301,0.0005566328910822365
Chad,1079,12301,0.0005556030429951277
Arturo,1058,12301,0.0005447896380804867
Randy,1054,12301,0.0005427299419062694
Angelo,1046,12301,0.0005386105495578347
Tucker,1041,12301,0.000536035929340063
Damon,1038,12301,0.0005344911572094
Pablo,1037,12301,0.0005339762331658457
Larry,1030,12301,0.0005303717648609653
Tony,1025,12301,0.0005277971446431937
Kyler,1020,12301,0.000525222524425422
Danny,1017,12301,0.000523677752294759
Gary,1013,12301,0.0005216180561205417
Myles,1002,12301,0.0005159538916414439
Corbin,992,12301,0.0005108046512059006
Roman,983,12301,0.0005061703348139116
Alfredo,979,12301,0.0005041106386396943
Oliver,978,12301,0.0005035957145961399
Jace,976,12301,0.0005025658665090313
Nickolas,972,12301,0.0005005061703348139
Joe,960,12301,0.0004943270818121619
Bryant,956,12301,0.0004922673856379445
Darren,949,12301,0.0004886629173330642
