types,counts,total_unique,probs
Emily,25057,17973,0.013921839458527843
Madison,22164,17973,0.012314469001030094
Hannah,20716,17973,0.011509950362088949
Ashley,16527,17973,0.009182513498467082
Alexis,16402,17973,0.009113062649110973
Sarah,15899,17973,0.008833592431301997
Samantha,15864,17973,0.008814146193482288
Abigail,14807,17973,0.008226869811327045
Elizabeth,14786,17973,0.008215202068635219
Olivia,13977,17973,0.007765716171602492
Jessica,13922,17973,0.007735157797885805
Taylor,13693,17973,0.007607923841865417
Emma,13308,17973,0.007394015225848606
Alyssa,13272,17973,0.007374013381234047
Lauren,12781,17973,0.007101210444963257
Grace,12088,17973,0.006716174936132999
Kayla,11891,17973,0.006606720397547774
Brianna,11774,17973,0.006541714402550457
Anna,10580,17973,0.005878319889500921
Megan,10299,17973,0.005722194380148392
Victoria,10180,17973,0.005656077171561378
Destiny,9749,17973,0.005416610642981519
Sydney,9638,17973,0.0053549382887532965
Rachel,9539,17973,0.005299933216063259
Jasmine,8956,17973,0.004976014454666375
Jennifer,8922,17973,0.004957123823641513
Julia,8837,17973,0.004909897246079361
Isabella,8835,17973,0.004908786032489663
Morgan,8735,17973,0.004853225353004777
Chloe,8177,17973,0.004543196761479114
Kaitlyn,8162,17973,0.0045348626595563815
Natalie,8048,17973,0.004471523484943611
Hailey,8032,17973,0.004462633776226029
Haley,8010,17973,0.004450410426739355
Katherine,7879,17973,0.004377625936614155
Nicole,7817,17973,0.004343178315333525
Sophia,7161,17973,0.003978700257912674
Alexandra,7042,17973,0.00391258304932566
Amanda,6967,17973,0.003870912539711996
Mackenzie,6934,17973,0.0038525775154819833
Maria,6840,17973,0.003800350476766191
Savannah,6737,17973,0.003743122976896758
Stephanie,6610,17973,0.003672560913950953
Allison,6211,17973,0.0034508738028062587
Jenna,6142,17973,0.0034125369339616874
Rebecca,5886,17973,0.00327030159448038
Jordan,5803,17973,0.003224186230507925
Andrea,5746,17973,0.0031925166432015396
Mary,5732,17973,0.0031847381480736557
Gabrielle,5607,17973,0.0031152872987175485
Amber,5573,17973,0.003096396667692687
Katelyn,5440,17973,0.003022500963977789
Faith,5410,17973,0.0030058327601323234
Makayla,5317,17973,0.0029541613282113794
Sierra,5237,17973,0.002909712784623471
Madeline,5223,17973,0.002901934289495587
Brooke,5212,17973,0.0028958226147522493
Sara,5153,17973,0.0028630418138561667
Michelle,5029,17973,0.0027941465712949085
Erin,4957,17973,0.0027541428820657904
Kimberly,4880,17973,0.0027113611588624282
Caroline,4862,17973,0.002701360236555149
Danielle,4789,17973,0.0026608009405311825
Vanessa,4672,17973,0.002595794945533866
Zoe,4644,17973,0.002580237955278098
Kaylee,4620,17973,0.0025669033922017252
Trinity,4480,17973,0.0024891184409228852
Shelby,4369,17973,0.0024274460866946616
Bailey,4340,17973,0.002411333489644045
Jacqueline,4299,17973,0.002388553611055242
Paige,4274,17973,0.0023746634411840203
Autumn,4191,17973,0.002328548077211565
Courtney,4175,17973,0.002319658368493983
Melissa,4145,17973,0.0023029901646485175
Jada,3983,17973,0.0022129818638830026
Mia,3918,17973,0.002176867422217827
Angela,3913,17973,0.0021740893882435824
Alexa,3898,17973,0.0021657552863208495
Marissa,3853,17973,0.002140752980552651
Christina,3741,17973,0.002078525019529579
Catherine,3730,17973,0.0020724133447862416
Claire,3642,17973,0.0020235199468395418
Gabriella,3613,17973,0.002007407349788925
Leslie,3613,17973,0.002007407349788925
Mariah,3585,17973,0.001991850359533157
Laura,3556,17973,0.00197573776248254
Leah,3520,17973,0.001955735917867981
Isabel,3490,17973,0.0019390677140225154
Caitlin,3456,17973,0.0019201770829976542
Molly,3414,17973,0.0018968415976140021
Alexandria,3404,17973,0.0018912855296655136
Ariana,3376,17973,0.0018757285394097455
Angelina,3368,17973,0.0018712836850509546
Breanna,3368,17973,0.0018712836850509546
Kylie,3353,17973,0.0018629495831282217
Aaliyah,3352,17973,0.001862393976333373
Kathryn,3329,17973,0.0018496150200518493
Jade,3281,17973,0.0018229458938991041
Kelsey,3267,17973,0.00181516739877122
Katie,3266,17973,0.0018146117919763712
Briana,3235,17973,0.0017973879813360566
Diana,3196,17973,0.001775719316336951
Lily,3195,17973,0.0017751637095421021
Angel,3080,17973,0.0017112689281344835
Lindsey,3050,17973,0.0016946007242890177
Riley,3044,17973,0.0016912670835199247
Cassidy,3029,17973,0.0016829329815971918
Arianna,3015,17973,0.0016751544864693076
Mikayla,3014,17973,0.001674598879674459
Maya,3010,17973,0.0016723764524950635
Audrey,2950,17973,0.001639040044804132
Lillian,2949,17973,0.001638484438009283
Isabelle,2943,17973,0.00163515079724019
Amy,2936,17973,0.0016312615496762478
Brittany,2929,17973,0.0016273723021123059
Sabrina,2921,17973,0.001622927447753515
Melanie,2912,17973,0.0016179269865998754
Margaret,2895,17973,0.0016084816710874447
Cheyenne,2875,17973,0.0015973695351904676
Jillian,2846,17973,0.0015812569381398506
Madelyn,2844,17973,0.001580145724550153
Cassandra,2834,17973,0.0015745896566016645
Jocelyn,2827,17973,0.0015707004090377223
Kelly,2814,17973,0.0015634775207046872
Gabriela,2733,17973,0.0015184733703219296
Evelyn,2691,17973,0.0014951378849382777
Tiffany,2690,17973,0.0014945822781434288
Miranda,2683,17973,0.0014906930305794868
Erica,2668,17973,0.001482358928656754
Alicia,2657,17973,0.0014762472539134165
Adriana,2640,17973,0.0014668019384009858
Ava,2539,17973,0.0014106856521212512
Caitlyn,2536,17973,0.0014090188317367046
Ana,2515,17973,0.0013973510890448785
Mckenzie,2471,17973,0.0013729043900715288
Angelica,2436,17973,0.0013534581522518189
Crystal,2430,17973,0.0013501245114827256
Kennedy,2406,17973,0.0013367899484063531
Daisy,2371,17973,0.001317343710586643
Lydia,2356,17973,0.0013090096086639102
Skylar,2343,17973,0.001301786720330875
Summer,2314,17973,0.001285674123280258
Alexia,2294,17973,0.0012745619873832808
Kiara,2289,17973,0.0012717839534090367
Sofia,2288,17973,0.0012712283466141878
Heather,2274,17973,0.0012634498514863038
Erika,2230,17973,0.001239003152512954
Karen,2193,17973,0.0012184457011035462
Mya,2189,17973,0.0012162232739241507
Hope,2180,17973,0.0012112228127705111
Sophie,2172,17973,0.0012067779584117202
Avery,2132,17973,0.0011845536866177658
Chelsea,2118,17973,0.0011767751914898818
Veronica,2087,17973,0.0011595513808495671
Juliana,2076,17973,0.0011534397061062297
Bianca,2071,17973,0.0011506616721319856
Ashlyn,2030,17973,0.0011278817935431824
Bethany,2030,17973,0.0011278817935431824
Meghan,2024,17973,0.0011245481527740891
Daniela,2019,17973,0.001121770118799845
Natalia,2007,17973,0.0011151028372616586
Kristen,1991,17973,0.0011062131285440768
Abby,1986,17973,0.0011034350945698325
Payton,1983,17973,0.001101768274185286
Valerie,1981,17973,0.0011006570605955883
Karina,1963,17973,0.0010906561382883087
Diamond,1945,17973,0.0010806552159810293
Jamie,1945,17973,0.0010806552159810293
Cynthia,1920,17973,0.001066765046109808
Gracie,1911,17973,0.0010617645849561681
Brooklyn,1906,17973,0.001058986550981924
Shannon,1906,17973,0.001058986550981924
Peyton,1885,17973,0.0010473188082900978
Jordyn,1884,17973,0.001046763201495249
Nayeli,1845,17973,0.0010250945364961436
Carly,1833,17973,0.0010184272549579572
Alondra,1829,17973,0.0010162048277785618
Michaela,1827,17973,0.0010150936141888642
Naomi,1823,17973,0.0010128711870094687
Kaitlin,1821,17973,0.0010117599734197709
Maggie,1819,17973,0.0010106487598300733
Monica,1793,17973,0.000996202983164003
Hayley,1787,17973,0.0009928693423949097
Julianna,1777,17973,0.0009873132744464212
Gianna,1765,17973,0.0009806459929082348
Hanna,1757,17973,0.000976201138549444
Jasmin,1756,17973,0.0009756455317545951
Rebekah,1738,17973,0.0009656446094473157
Brenda,1735,17973,0.0009639777890627691
Desiree,1721,17973,0.0009561992939348851
Ella,1719,17973,0.0009550880803451874
Alejandra,1717,17973,0.0009539768667554897
Karla,1698,17973,0.0009434203376533614
Mckenna,1693,17973,0.0009406423036791171
Kylee,1675,17973,0.0009306413813718376
Makenzie,1660,17973,0.0009223072794491047
Ariel,1654,17973,0.0009189736386800116
Britney,1640,17973,0.0009111951435521276
Amelia,1634,17973,0.0009078615027830344
Kate,1625,17973,0.0009028610416293947
Esmeralda,1621,17973,0.0009006386144499993
Camryn,1596,17973,0.0008867484445787778
Valeria,1589,17973,0.0008828591970148358
Delaney,1582,17973,0.0008789699494508938
Jazmin,1582,17973,0.0008789699494508938
Joanna,1555,17973,0.0008639685659899746
Kyra,1534,17973,0.0008523008232981486
Kendall,1524,17973,0.0008467447553496601
Aubrey,1505,17973,0.0008361882262475317
Lindsay,1502,17973,0.0008345214058629851
Kendra,1496,17973,0.000831187765093892
Claudia,1495,17973,0.0008306321582990431
Adrianna,1490,17973,0.0008278541243247989
Selena,1483,17973,0.0008239648767608568
Sadie,1480,17973,0.0008222980563763103
Kara,1475,17973,0.000819520022402066
Jazmine,1467,17973,0.0008150751680432751
Holly,1462,17973,0.0008122971340690309
Giselle,1461,17973,0.0008117415272741819
Reagan,1445,17973,0.0008028518185566003
Brittney,1442,17973,0.0008011849981720536
Jayla,1422,17973,0.0007900728622750765
Nancy,1419,17973,0.00078840604189053
Genesis,1417,17973,0.0007872948283008322
Julie,1414,17973,0.0007856280079162856
Aliyah,1412,17973,0.0007845167943265879
Fatima,1404,17973,0.000780071939967797
Elena,1392,17973,0.0007734046584296107
Savanna,1379,17973,0.0007661817700965756
Charlotte,1379,17973,0.0007661817700965756
Cierra,1372,17973,0.0007622925225326336
Ruby,1365,17973,0.0007584032749686915
Alison,1360,17973,0.0007556252409944473
Raven,1355,17973,0.000752847207020203
Guadalupe,1342,17973,0.0007456243186871679
Elise,1337,17973,0.0007428462847129235
Kathleen,1337,17973,0.0007428462847129235
Mallory,1336,17973,0.0007422906779180747
Nadia,1331,17973,0.0007395126439438303
Rylee,1330,17973,0.0007389570371489815
Cameron,1319,17973,0.0007328453624056441
Macy,1314,17973,0.0007300673284313997
Nina,1305,17973,0.00072506686727776
Rachael,1304,17973,0.0007245112604829112
April,1299,17973,0.0007217332265086669
Serena,1296,17973,0.0007200664061241203
Kyla,1295,17973,0.0007195107993292715
Katelynn,1293,17973,0.0007183995857395738
Casey,1283,17973,0.0007128435177910852
Kristina,1282,17973,0.0007122879109962363
Katrina,1276,17973,0.0007089542702271432
Asia,1268,17973,0.0007045094158683523
Wendy,1254,17973,0.0006967309207404682
Tatiana,1251,17973,0.0006950641003559217
Christine,1246,17973,0.0006922860663816775
Haylee,1237,17973,0.0006872856052280377
Alana,1233,17973,0.0006850631780486423
Cindy,1232,17973,0.0006845075712537934
Camille,1226,17973,0.0006811739304847002
Kirsten,1224,17973,0.0006800627168950025
Patricia,1224,17973,0.0006800627168950025
Allyson,1221,17973,0.000678395896510456
Makenna,1216,17973,0.0006756178625362117
Sandra,1208,17973,0.0006711730081774208
Carolina,1204,17973,0.0006689505809980254
Nevaeh,1199,17973,0.0006661725470237811
Carmen,1175,17973,0.0006528379839474084
Yesenia,1172,17973,0.0006511711635628619
Cecilia,1164,17973,0.000646726309204071
Addison,1162,17973,0.0006456150956143733
Mariana,1162,17973,0.0006456150956143733
Eva,1159,17973,0.0006439482752298268
