types,counts,total_unique,probs
Linda,67082,6390,0.03617448437527805
Mary,65634,6390,0.03539363923984079
Patricia,53098,6390,0.02863350483525408
Deborah,49814,6390,0.026862582580574536
Susan,41350,6390,0.022298305490560024
Barbara,39865,6390,0.02149750782058465
Nancy,31740,6390,0.017116039087554418
Karen,28959,6390,0.015616363451055085
Debra,26832,6390,0.014469362343959047
Sandra,26101,6390,0.01407516497240888
Kathleen,25767,6390,0.0138950529038757
Carol,23993,6390,0.012938409761427004
Donna,23714,6390,0.012787956865855874
Sharon,23386,6390,0.012611080343464007
Brenda,21444,6390,0.011563841909058504
Diane,21064,6390,0.011358923986775245
Pamela,20880,6390,0.011259700571774929
Cynthia,19883,6390,0.01072206065462648
Janet,17923,6390,0.009665115581797033
Christine,17548,6390,0.009462893947964868
Margaret,17097,6390,0.009219688729676052
Elizabeth,16022,6390,0.008639986712690513
Janice,14979,6390,0.008077540941791986
Carolyn,14271,6390,0.007695746497116859
Judith,14062,6390,0.007583041639861066
Judy,13633,6390,0.0073517000907570695
Joyce,13126,6390,0.007078296441815983
Shirley,12530,6390,0.006756898858445395
Kathy,12370,6390,0.006670617628010338
Rebecca,12226,6390,0.006592964520618787
Cheryl,12199,6390,0.006578404562982872
Betty,12131,6390,0.006541735040047973
Denise,11655,6390,0.006285048379503678
Catherine,11052,6390,0.005959875992301557
Beverly,10547,6390,0.005687550858740909
Gloria,10461,6390,0.005641174697382066
Joan,10277,6390,0.005541951282381751
Marilyn,9800,6390,0.005284725364147236
Gail,9765,6390,0.005265851344989568
Martha,9697,6390,0.0052291818220546685
Bonnie,9387,6390,0.005062011938086746
Jane,9323,6390,0.005027499445912723
Peggy,8992,6390,0.004849005150450199
Connie,8758,6390,0.004722818850938929
Ann,8654,6390,0.004666736051156141
Dorothy,8613,6390,0.004644626485857158
Paula,8566,6390,0.004619281374416861
Kathryn,8504,6390,0.004585847397623276
Virginia,8162,6390,0.004401421267568342
Jean,7510,6390,0.004049825253545485
Diana,7392,6390,0.00398619284609963
Teresa,7291,6390,0.0039317278193875
Laura,7187,6390,0.0038756450196047133
Wanda,7166,6390,0.0038643206081101123
Jo,7091,6390,0.003823876281343679
Cathy,7010,6390,0.0037801964084359318
Ruth,6953,6390,0.0037494587200934426
Jacqueline,6938,6390,0.003741369854740156
Katherine,6890,6390,0.003715485485609639
Theresa,6810,6390,0.0036723448703921105
Vicki,6773,6390,0.0036523923358540034
Rose,6553,6390,0.0035337556440058
Helen,6466,6390,0.003486840224956738
Sheila,6218,6390,0.0033531043177823998
Phyllis,6153,6390,0.003318052567918158
Rita,6149,6390,0.0033158955371572815
Frances,6079,6390,0.0032781474988419442
Sherry,5954,6390,0.003210740287564556
Alice,5912,6390,0.0031880914645753535
Ellen,5842,6390,0.003150343426260016
Lynn,5816,6390,0.0031363227263143194
Maria,5694,6390,0.0030705332881075884
Elaine,5650,6390,0.0030468059497379477
Victoria,5604,6390,0.003022000095987869
Marsha,5584,6390,0.003011214942183487
Vickie,5483,6390,0.002956749915471357
Darlene,5429,6390,0.0029276300001995254
Joanne,5353,6390,0.0028866464157428734
Anne,5257,6390,0.0028348776774818393
Marcia,5209,6390,0.002808993308351322
Sally,5037,6390,0.002716240985633636
Marie,4978,6390,0.002684424781910709
Doris,4951,6390,0.0026698648242747926
Suzanne,4909,6390,0.0026472160012855905
Julie,4497,6390,0.002425041832915319
Lois,4362,6390,0.0023522420447357395
Valerie,4262,6390,0.002298316275713829
Roberta,4227,6390,0.00227944225655616
Charlotte,4204,6390,0.0022670393296811207
Evelyn,4155,6390,0.0022406157028603845
Anita,4134,6390,0.0022292912913657835
Constance,4117,6390,0.0022201239106320585
Sarah,4047,6390,0.0021823758723167213
Maureen,4039,6390,0.0021780618107949683
Rhonda,3960,6390,0.002135460453267659
Dianne,3895,6390,0.002100408703403417
Glenda,3880,6390,0.0020923198380501306
Jeanne,3827,6390,0.002063739180468518
Sylvia,3790,6390,0.002043786645930411
Eileen,3741,6390,0.0020173630191096747
Anna,3715,6390,0.002003342319163978
Robin,3640,6390,0.001962897992397545
Yvonne,3624,6390,0.0019542698693540395
Leslie,3574,6390,0.0019273069848430842
Wendy,3557,6390,0.0019181396041093592
Charlene,3546,6390,0.001912207769516949
Jennifer,3527,6390,0.001901961873402786
Colleen,3471,6390,0.0018717634427505162
Lorraine,3465,6390,0.0018685278966092016
Michele,3403,6390,0.001835093919815617
Claudia,3382,6390,0.0018237695083210157
Norma,3341,6390,0.0018016599430220324
Sue,3336,6390,0.001798963654570937
Gwendolyn,3329,6390,0.0017951888507394033
Laurie,3271,6390,0.0017639119047066951
Joann,3265,6390,0.0017606763585653804
Marlene,3131,6390,0.0016884158280760203
Jill,3052,6390,0.0016458144705487109
Geraldine,3047,6390,0.0016431181820976153
Terry,3033,6390,0.001635568574434548
Irene,3017,6390,0.0016269404513910423
Louise,2978,6390,0.0016059094014724972
Stephanie,2930,6390,0.0015800250323419799
Michelle,2881,6390,0.0015536014055212437
Juanita,2850,6390,0.0015368844171244516
Lisa,2845,6390,0.001534188128673356
Annie,2838,6390,0.0015304133248418223
Patsy,2827,6390,0.001524481490249412
Lynda,2812,6390,0.0015163926248961254
Rosemary,2786,6390,0.0015023719249504287
Julia,2782,6390,0.0015002148941895524
Andrea,2770,6390,0.001493743801906923
Kay,2769,6390,0.001493204544216704
Angela,2641,6390,0.0014241795598686584
Gayle,2635,6390,0.0014209440137273439
Loretta,2615,6390,0.0014101588599229617
Jeanette,2580,6390,0.001391284840765293
Carla,2564,6390,0.0013826567177217873
Regina,2556,6390,0.0013783426562000345
Cindy,2547,6390,0.0013734893369880625
Marjorie,2521,6390,0.0013594686370423657
Vivian,2508,6390,0.0013524582870695174
Jan,2483,6390,0.0013389768448140397
Debbie,2453,6390,0.0013227991141074665
Ruby,2373,6390,0.001279658498889938
Beth,2360,6390,0.0012726481489170897
Arlene,2329,6390,0.0012559311605202974
June,2318,6390,0.0012499993259278872
Joy,2276,6390,0.0012273505029386847
Lynne,2264,6390,0.0012208794106560556
Sheryl,2242,6390,0.0012090157414712352
Delores,2192,6390,0.00118205285696028
Janis,2181,6390,0.0011761210223678697
Renee,2179,6390,0.0011750425069874315
Christina,2168,6390,0.0011691106723950213
Annette,2159,6390,0.0011642573531830494
Penny,2091,6390,0.0011275878302481502
Terri,2074,6390,0.0011184204495144254
Mildred,2050,6390,0.0011054782649491668
Sara,2045,6390,0.0011027819764980714
Dolores,2043,6390,0.0011017034611176331
Rosa,1942,6390,0.0010472384344055034
Paulette,1886,6390,0.0010170400037532335
Shelley,1886,6390,0.0010170400037532335
Kristine,1885,6390,0.0010165007460630144
Dawn,1884,6390,0.0010159614883727952
Toni,1882,6390,0.0010148829729923572
Audrey,1868,6390,0.0010073333653292896
Josephine,1862,6390,0.001004097819187975
Carole,1838,6390,0.0009911556346227164
Candace,1834,6390,0.00098899860386184
Belinda,1831,6390,0.0009873808307911828
Yolanda,1775,6390,0.0009571824001389128
Vicky,1760,6390,0.0009490935347856262
Amy,1750,6390,0.0009437009578834351
Georgia,1748,6390,0.000942622442502997
Edna,1745,6390,0.0009410046694323396
Lillian,1732,6390,0.0009339943194594913
Emma,1712,6390,0.0009232091656551091
Esther,1711,6390,0.00092266990796489
Eva,1703,6390,0.0009183558464431372
Jacquelyn,1674,6390,0.0009027173734267831
Edith,1639,6390,0.0008838433542691144
Carmen,1608,6390,0.0008671263658723221
Rachel,1600,6390,0.0008628123043505693
Pauline,1597,6390,0.0008611945312799119
Roxanne,1578,6390,0.0008509486351657489
Veronica,1573,6390,0.0008482523467146534
Janie,1569,6390,0.000846095315953777
Jackie,1559,6390,0.0008407027390515859
Marianne,1551,6390,0.0008363886775298331
Priscilla,1547,6390,0.0008342316467689567
Becky,1537,6390,0.0008288390698667656
Grace,1525,6390,0.0008223679775841363
Melinda,1513,6390,0.0008158968853015071
Clara,1512,6390,0.000815357627611288
Monica,1465,6390,0.0007900125161709899
Patti,1457,6390,0.0007856984546492371
Bonita,1456,6390,0.000785159196959018
Lucille,1452,6390,0.0007830021661981416
Melissa,1442,6390,0.0007776095892959505
Wilma,1421,6390,0.0007662851778013493
Lucy,1415,6390,0.0007630496316600347
Margie,1410,6390,0.0007603533432089392
Ethel,1399,6390,0.000754421508616529
Dianna,1394,6390,0.0007517252201654335
Emily,1392,6390,0.0007506467047849952
Billie,1389,6390,0.000749028931714338
Thelma,1359,6390,0.0007328512010077648
Nina,1357,6390,0.0007317726856273265
Melanie,1351,6390,0.000728537139486012
Bobbie,1332,6390,0.000718291243371849
Lydia,1327,6390,0.0007155949549207534
Holly,1317,6390,0.0007102023780185624
Gladys,1304,6390,0.0007031920280457139
Kim,1292,6390,0.0006967209357630847
Marion,1264,6390,0.0006816217204369498
Bertha,1250,6390,0.0006740721127738822
Eleanor,1250,6390,0.0006740721127738822
Marian,1245,6390,0.0006713758243227867
Ella,1244,6390,0.0006708365666325676
Florence,1242,6390,0.0006697580512521294
Shelia,1235,6390,0.0006659832474205956
Ramona,1227,6390,0.0006616691858988428
Beatrice,1223,6390,0.0006595121551379664
Faye,1221,6390,0.0006584336397575281
Bernice,1212,6390,0.0006535803205455562
Willie,1203,6390,0.0006487270013335843
Maryann,1188,6390,0.0006406381359802977
Maxine,1161,6390,0.0006260781783443819
Dana,1144,6390,0.000616910797610657
Melody,1132,6390,0.0006104397053280278
Lillie,1125,6390,0.000606664901496494
Nora,1122,6390,0.0006050471284258367
