types,counts,total_unique,probs
Jacob,30574,12482,0.015755530075623865
Michael,28245,12482,0.014555339405573233
Joshua,25993,12482,0.01339482871903222
Matthew,25153,12482,0.012961956171654578
Ethan,22109,12482,0.011393308511871788
Andrew,22019,12482,0.01134692931036704
Joseph,21895,12482,0.011283029077182722
Christopher,21684,12482,0.011174295615877147
Nicholas,21390,12482,0.011022790224294973
Daniel,21316,12482,0.010984656214168846
William,20124,12482,0.010370389456461524
Anthony,19586,12482,0.010093144896355368
David,18675,12482,0.00962368431223509
Tyler,18265,12482,0.009412401283157908
Alexander,17714,12482,0.009128457505056621
Ryan,17660,12482,0.009100629984153773
John,17455,12482,0.00899498846961518
James,16959,12482,0.008739387536877906
Zachary,16622,12482,0.008565723193465685
Brandon,16277,12482,0.008387936254364153
Jonathan,15511,12482,0.007993197717112637
Justin,14903,12482,0.00767988044472501
Dylan,14820,12482,0.007637108514448409
Christian,14594,12482,0.007520645186225377
Samuel,14560,12482,0.007503124154545806
Austin,14540,12482,0.0074928176653225285
Benjamin,13482,12482,0.006947604385411164
Nathan,13220,12482,0.0068125893765862335
Logan,12972,12482,0.006684788910217595
Jose,12861,12482,0.006627587895028407
Noah,12067,12482,0.006218420272864302
Gabriel,12054,12482,0.006211721054869172
Kevin,12043,12482,0.006206052485796369
Robert,12027,12482,0.006197807294417748
Caleb,11660,12482,0.006008683217170611
Thomas,11291,12482,0.005818528491001147
Jordan,11151,12482,0.005746383066438206
Hunter,11083,12482,0.005711341003079064
Cameron,10337,12482,0.005326908955050824
Kyle,10063,12482,0.005185710052691926
Elijah,10050,12482,0.005179010834696796
Jason,9954,12482,0.005129539686425065
Aaron,9002,12482,0.00463895079939707
Jack,8998,12482,0.004636889501552415
Isaiah,8964,12482,0.004619368469872843
Luke,8692,12482,0.0044792002164362734
Connor,8410,12482,0.004333878718388065
Isaac,8308,12482,0.004281315623349351
Angel,8186,12482,0.004218446039087361
Jackson,8153,12482,0.004201440331868953
Brian,8082,12482,0.0041648522951263185
Eric,7927,12482,0.00408497700364592
Mason,7878,12482,0.004059726105048891
Juan,7817,12482,0.004028291312917896
Adam,7750,12482,0.003993764574019917
Evan,7384,12482,0.0038051558212339443
Luis,7376,12482,0.0038010332255446334
Charles,7208,12482,0.003714458716069105
Sean,7029,12482,0.003622215637520774
Aidan,6952,12482,0.003582535654011157
Gavin,6951,12482,0.0035820203295499928
Nathaniel,6812,12482,0.0035103902294482165
